<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010117000000,0.9425,0.9449,0.9289,0.9355,0.0
20010118000000,0.9358,0.9468,0.9354,0.9444,0.0
20010119000000,0.9427,0.9507,0.9339,0.934,0.0
20010122000000,0.9341,0.9405,0.927,0.9395,0.0
20010123000000,0.9387,0.9453,0.9371,0.9379,0.0
20010124000000,0.9374,0.9375,0.9213,0.9214,0.0
20010125000000,0.9218,0.9254,0.9113,0.9245,0.0
20010126000000,0.924,0.9321,0.9198,0.9242,0.0
20010129000000,0.9246,0.9264,0.9159,0.9165,0.0
20010130000000,0.9173,0.9281,0.9144,0.9267,0.0
20010131000000,0.9263,0.9373,0.9252,0.9365,0.0
20010201000000,0.9374,0.9448,0.9359,0.9391,0.0
20010202000000,0.9385,0.9423,0.9318,0.9364,0.0
20010205000000,0.9346,0.9446,0.9343,0.9384,0.0
20010206000000,0.9378,0.9389,0.9281,0.9309,0.0
20010207000000,0.9315,0.9356,0.9257,0.9282,0.0
20010208000000,0.9284,0.93,0.9147,0.9188,0.0
20010209000000,0.9179,0.9278,0.9125,0.9247,0.0
20010212000000,0.9254,0.9334,0.9248,0.9314,0.0
20010213000000,0.9318,0.9334,0.9171,0.9209,0.0
20010214000000,0.9196,0.9223,0.9164,0.9183,0.0
20010215000000,0.9183,0.9199,0.9026,0.9047,0.0
20010216000000,0.9052,0.9181,0.9047,0.9131,0.0
20010219000000,0.9133,0.9238,0.9121,0.922,0.0
20010220000000,0.9214,0.9242,0.9049,0.9123,0.0
20010221000000,0.9123,0.9184,0.9058,0.9096,0.0
20010222000000,0.9092,0.9133,0.9016,0.9052,0.0
20010223000000,0.9047,0.9214,0.9027,0.9176,0.0
20010226000000,0.9174,0.919,0.908,0.9118,0.0
20010227000000,0.9109,0.9215,0.9083,0.9178,0.0
20010228000000,0.9187,0.9259,0.9161,0.9234,0.0
20010301000000,0.9239,0.9325,0.9224,0.9298,0.0
20010302000000,0.9299,0.9383,0.9285,0.9347,0.0
20010305000000,0.9365,0.9367,0.9281,0.9296,0.0
20010306000000,0.9289,0.9354,0.9252,0.9344,0.0
20010307000000,0.9344,0.9373,0.9264,0.9296,0.0
20010308000000,0.9297,0.9343,0.9267,0.9324,0.0
20010309000000,0.9325,0.9377,0.929,0.9329,0.0
20010312000000,0.9326,0.9345,0.9258,0.9287,0.0
20010313000000,0.9286,0.9304,0.9127,0.9147,0.0
20010314000000,0.9155,0.9218,0.9078,0.9109,0.0
20010315000000,0.912,0.9133,0.8953,0.8984,0.0
20010316000000,0.8973,0.9006,0.8915,0.8976,0.0
20010319000000,0.8975,0.9021,0.8932,0.899,0.0
20010320000000,0.8995,0.9101,0.8987,0.9096,0.0
20010321000000,0.9093,0.9128,0.8931,0.8962,0.0
20010322000000,0.8961,0.8968,0.883,0.8883,0.0
20010323000000,0.8891,0.8969,0.8852,0.89,0.0
20010326000000,0.8911,0.8977,0.8884,0.896,0.0
20010327000000,0.8958,0.8993,0.8898,0.8932,0.0
20010328000000,0.8935,0.8948,0.8845,0.8858,0.0
20010329000000,0.8859,0.8887,0.8796,0.8827,0.0
20010330000000,0.8836,0.8879,0.8752,0.8778,0.0
20010402000000,0.8745,0.8839,0.8744,0.8798,0.0
20010403000000,0.8797,0.8999,0.8792,0.8981,0.0
20010404000000,0.8976,0.9052,0.8934,0.9013,0.0
20010405000000,0.9012,0.9094,0.8936,0.8967,0.0
20010406000000,0.8969,0.9054,0.8924,0.9042,0.0
20010409000000,0.9028,0.9049,0.8962,0.897,0.0
20010410000000,0.897,0.8997,0.8869,0.8889,0.0
